Date,Price,Open,High,Low,Vol.,Change
26-May-17,153.61,154,154.24,153.31,21.93M,-0.17%
25-May-17,153.87,153.73,154.35,153.03,19.24M,0.35%
24-May-17,153.34,153.84,154.17,152.67,19.22M,-0.30%
23-May-17,153.8,154.9,154.9,153.31,19.92M,-0.12%
22-May-17,153.99,154,154.58,152.91,22.97M,0.61%
19-May-17,153.06,153.38,153.98,152.63,26.96M,0.34%
18-May-17,152.54,151.27,153.34,151.13,33.57M,1.52%
17-May-17,150.25,153.6,154.57,149.71,50.77M,-3.36%
16-May-17,155.47,155.94,156.06,154.72,20.05M,-0.15%
15-May-17,155.7,156.01,156.65,155.05,26.01M,-0.26%
12-May-17,156.1,154.7,156.42,154.67,32.53M,1.40%
11-May-17,153.95,152.45,154.07,152.31,27.26M,0.45%
10-May-17,153.26,153.63,153.94,152.11,25.81M,-0.47%
9-May-17,153.99,153.87,154.88,153.45,39.13M,0.64%
8-May-17,153.01,149.03,153.7,149.03,48.75M,2.72%
5-May-17,148.96,146.76,148.98,146.76,27.33M,1.66%
4-May-17,146.53,146.52,147.14,145.81,23.37M,-0.36%
3-May-17,147.06,145.59,147.49,144.27,45.70M,-0.31%
2-May-17,147.51,147.54,148.09,146.84,45.35M,0.63%
1-May-17,146.58,145.1,147.2,144.96,33.60M,2.04%
28-Apr-17,143.65,144.09,144.3,143.27,20.86M,-0.10%
27-Apr-17,143.79,143.92,144.16,143.31,14.25M,0.08%
26-Apr-17,143.68,144.47,144.6,143.38,20.04M,-0.59%
25-Apr-17,144.53,143.91,144.9,143.87,18.87M,0.62%
24-Apr-17,143.64,143.5,143.95,143.18,17.13M,0.96%
21-Apr-17,142.27,142.44,142.68,141.85,17.32M,-0.12%
20-Apr-17,142.44,141.22,142.92,141.16,23.32M,1.25%
19-Apr-17,140.68,141.88,142,140.45,17.33M,-0.37%
18-Apr-17,141.2,141.41,142.04,141.11,14.70M,-0.44%
17-Apr-17,141.83,141.48,141.88,140.87,16.58M,0.55%
13-Apr-17,141.05,141.91,142.38,141.05,17.82M,-0.53%
12-Apr-17,141.8,141.6,142.15,141.01,20.35M,0.12%
11-Apr-17,141.63,142.94,143.35,140.06,30.38M,-1.08%
10-Apr-17,143.17,143.6,143.88,142.9,18.93M,-0.12%
7-Apr-17,143.34,143.73,144.18,143.27,16.67M,-0.22%
6-Apr-17,143.66,144.29,144.52,143.45,21.15M,-0.25%
5-Apr-17,144.02,144.22,145.46,143.81,27.72M,-0.52%
4-Apr-17,144.77,143.25,144.89,143.17,19.89M,0.74%
